Open,High,Low,Close,Volume
2618.713,2659.412,2598.913,2658.392,120927286
2656.364,2676.09,2650.397,2672.533,119964750
2672.793,2675.313,2594.336,2595.274,127010021
2587.615,2618.451,2586.018,2607.497,86941461
2584.919,2608.761,2570.963,2575.475,92675203
2576.687,2607.033,2564.838,2606.7,88820450
2603.792,2665.314,2596.771,2661.708,125862823
2663.184,2677.57,2654.011,2671.893,122638294
2674.501,2687.76,2654.408,2666.301,136254348
2669.431,2701.93,2659.297,2687.979,128441613
2677.019,2683.288,2636.908,2642.307,116172184
2637.82,2656.116,2629.707,2639.366,88136539
2636.532,2667.171,2614.563,2650.307,107243639
2634.95,2645.503,2595.728,2596.58,109695828
2604.882,2616.962,2590.614,2603.481,80313857
2602.501,2613.487,2588.643,2610.742,70466094
2622.266,2656.355,2620.19,2652.664,110479525
2644.787,2647.253,2626.793,2638.798,110890245
2641.053,2662.876,2604.487,2622.882,127164940
2646.893,2659.978,2636.418,2655.776,124076238
2658.129,2660.539,2631.851,2655.394,129456526
2667.195,2698.601,2664.239,2696.25,144209066
2698.218,2704.933,2679.023,2698.363,112231539
2687.711,2695.845,2674.321,2695.291,113519409
2698.638,2698.638,2651.602,2656.352,132989434
2657.235,2667.837,2628.829,2663.209,113041151
2665.655,2696.674,2660.607,2688.32,117918914
2694.069,2703.781,2678.974,2688.522,120712410
2688.386,2688.49,2645.864,2652.503,122039815
2646.921,2653.272,2583.337,2602.465,118998200
2607.551,2615.079,2592.535,2598.689,83171357
2601.482,2607.347,2573.629,2588.713,79469519
2593.763,2601.099,2580.177,2591.55,58101406
2600.54,2629.045,2597.139,2627.967,76844658
